Tag,Data
Hacktivist,"A hacker has been able to send messages via text, email, and landline to tens of thousands of people across Australia after an emergency warning alert service, used by councils, was hacked. The message sent from the Early Warning Network on Friday night warned ""EWN has been hacked. Your personal data is not safe. Trying to fix the security issues"". EWN said a hacker accessed its alerting system and sent the message to part of its database. ""EWN staff at the time were able to quickly identify the attack and shut off our systems limiting the amount of messages sent out. Unfortunately, a small proportion of our database received this alert."" ""The actual data held in our system is just 'white pages' type data, we deliberately don't hold any other personal information."" The company said it's warning system remained fully operational during the breach and that it was working with the Queensland Police and the Australian Cyber Security Centre on the investigation. Mr Plowright said in the case of the NT, the EWN would usually be responsible for providing data to a number of ""Blue chip"" clients, including councils, regarding when and how a cyclone could hit."
Criminal:Magecart,"If you find any suspicious activity on your credit reports, call your local police or sheriff's office, and file a police report for identity theft and get a copy of it. Sincerely, Tamara Pattison Chief Marketing and Information Officer Information About Identity Theft Protection Review of Accounts and Credit Reports: You can regularly review statements from your accounts and periodically obtain your credit report from one or more of the national credit reporting companies. You should remain vigilant with respect to reviewing your account statements and credit reports, and you should promptly report any suspicious activity or suspected identity theft to the proper law enforcement authorities, including local law enforcement, your state's attorney general, and/or the Federal Trade Commission. You should be aware that using a security freeze to take control over who gets access to the personal and financial information in your credit report may delay, interfere with, or prohibit the timely approval of any subsequent request or application you make regarding a new loan, credit, mortgage, or any other account involving the extension of credit. Upon seeing a fraud alert display on a consumer's credit file, a business is required to take steps to verify the consumer's identity before extending new credit. You can place a fraud alert on your credit report by contacting any of the three national credit reporting agencies at the addresses or toll-free numbers listed at the bottom of this page. You can obtain more information about fraud alerts and credit freezes by contacting the FTC or one of the national credit reporting agencies listed below."
Hacktivist,"Blind said that the exposure only affects users who signed up or logged in between November 1 and December 19, and that the exposure relates to ""a single server, one among many servers on our platform,"" according to Blind executive Kyum Kim in an email. Blind only pulled the database after TechCrunch followed up by email a week later. The database also revealed the unencrypted private messages between members, but not the associated email addresses of each user. Blind claims on its website that its email verification ""Is safe, as our patented infrastructure is set up so that all user account and activity information is completely disconnected from the email verification process."" It adds: ""This effectively means there is no way to trace back your activity on Blind to an email address, because even we can't do it."" Blind claims that the database ""Does not show any mapping of email addresses to nicknames,"" but we found did find streams of email addresses associated with members who had not yet posted. When other records didn't store an email address, the record contained the user's email as an unrecognized encrypted hash - which may be decipherable to Blind employees, but not to anyone else. Despite the company's apparent efforts to disassociate email addresses from its platform, login records in the database also stored user account access tokens - the same kind of tokens that recently put Microsoft and Facebook accounts at risk. Some users sent anonymous, private messages in some cases made serious allegations against their colleagues or their managers, while others expressed concern that their employers were monitoring their emails for Blind sign-up emails."
Criminal:Magecart,"Logo ... How Bulletproof Coffee markets itself on its website. Bulletproof 360 Inc., purveyors of the fatty coffee touted as a wonder-treatment for mental clarity and weight loss, admitted that from May 20 to October 19 of this year - minus one day on October 14 - hackers slurped sensitive personal information hipsters entered when purchasing stuff online. ""In mid-October 2017, Bulletproof identified unauthorized computer code that had been added to the software that operates the checkout page at www.bulletproof.com,"" Bulletproof said in its mea culpa notification letter [PDF] to customers. Bulletproof said it is ""Working diligently"" to shore up its web systems after its security went to pot, and has vowed to prevent future similar attacks. As is usually the case with these sort of cockups, Bulletproof is advising its caffeine addicts to keep a close eye on their bank statements for any unauthorized charges brewing. The network security breach is particularly grinding for Bulletproof given its tech pedigree and the firm's particular appeal in Silicon Valley. Bulletproof got into the public spotlight on the back of endorsements from VC and startup execs in the tech world."
Criminal:Magecart,"Vermont's lobbyist registration and disclosure law applies to certain communications with and activities directed at the Attorney General. Prior to any interactions with the Office of the Vermont Attorney General, you are advised to review Title 2, Sections 261-268 of the Vermont Statutes Annotated, as well as the Vermont Secretary of State's most recent guide to compliance, available at https://www."
Criminal:FIN7,"Three high-ranking members of a sophisticated international cybercrime group operating out of Eastern Europe have been arrested and are currently in custody facing charges filed in U.S. District Court in Seattle, announced Assistant Attorney General Brian A. Benczkowski of the Justice Department's Criminal Division, U.S. Attorney Annette L. Hayes for the Western District of Washington and Special Agent in Charge Jay S. Tabb Jr. of the FBI Seattle Field Office. According to three federal indictments unsealed today, Ukrainian nationals Dmytro Fedorov, 44, Fedir Hladyr, 33, and Andrii Kolpakov, 30, are members of a prolific hacking group widely known as FIN7. Since at least 2015, FIN7 members engaged in a highly sophisticated malware campaign targeting more than 100 U.S. companies, predominantly in the restaurant, gaming, and hospitality industries. As set forth in indictments, FIN7 hacked into thousands of computer systems and stole millions of customer credit and debit card numbers, which the group used or sold for profit. In the United States alone, FIN7 successfully breached the computer networks of companies in 47 states and the District of Columbia, stealing more than 15 million customer card records from over 6,500 individual point-of-sale terminals at more than 3,600 separate business locations. Each of the three FIN7 conspirators is charged with 26 felony counts alleging conspiracy, wire fraud, computer hacking, access device fraud, and aggravated identity theft. Hladyr allegedly served as FIN7's systems administrator who, among other things, maintained servers and communication channels used by the organization and held a managerial role by delegating tasks and by providing instruction to other members of the scheme."
Criminal:FIN7,"Three high-ranking members of a sophisticated international cybercrime group operating out of Eastern Europe have been arrested and are currently in custody facing charges filed in U.S. District Court in Seattle, announced Assistant Attorney General Brian A. Benczkowski of the Justice Department's Criminal Division, U.S. Attorney Annette L. Hayes for the Western District of Washington and Special Agent in Charge Jay S. Tabb Jr. of the FBI Seattle Field Office. According to three federal indictments unsealed today, Ukrainian nationals Dmytro Fedorov, 44, Fedir Hladyr, 33, and Andrii Kolpakov, 30, are members of a prolific hacking group widely known as FIN7. Since at least 2015, FIN7 members engaged in a highly sophisticated malware campaign targeting more than 100 U.S. companies, predominantly in the restaurant, gaming, and hospitality industries. As set forth in indictments, FIN7 hacked into thousands of computer systems and stole millions of customer credit and debit card numbers, which the group used or sold for profit. In the United States alone, FIN7 successfully breached the computer networks of companies in 47 states and the District of Columbia, stealing more than 15 million customer card records from over 6,500 individual point-of-sale terminals at more than 3,600 separate business locations. Each of the three FIN7 conspirators is charged with 26 felony counts alleging conspiracy, wire fraud, computer hacking, access device fraud, and aggravated identity theft. Hladyr allegedly served as FIN7's systems administrator who, among other things, maintained servers and communication channels used by the organization and held a managerial role by delegating tasks and by providing instruction to other members of the scheme."
Criminal:FIN7,"Three high-ranking members of a sophisticated international cybercrime group operating out of Eastern Europe have been arrested and are currently in custody facing charges filed in U.S. District Court in Seattle, announced Assistant Attorney General Brian A. Benczkowski of the Justice Department's Criminal Division, U.S. Attorney Annette L. Hayes for the Western District of Washington and Special Agent in Charge Jay S. Tabb Jr. of the FBI Seattle Field Office. According to three federal indictments unsealed today, Ukrainian nationals Dmytro Fedorov, 44, Fedir Hladyr, 33, and Andrii Kolpakov, 30, are members of a prolific hacking group widely known as FIN7. Since at least 2015, FIN7 members engaged in a highly sophisticated malware campaign targeting more than 100 U.S. companies, predominantly in the restaurant, gaming, and hospitality industries. As set forth in indictments, FIN7 hacked into thousands of computer systems and stole millions of customer credit and debit card numbers, which the group used or sold for profit. In the United States alone, FIN7 successfully breached the computer networks of companies in 47 states and the District of Columbia, stealing more than 15 million customer card records from over 6,500 individual point-of-sale terminals at more than 3,600 separate business locations. Each of the three FIN7 conspirators is charged with 26 felony counts alleging conspiracy, wire fraud, computer hacking, access device fraud, and aggravated identity theft. Hladyr allegedly served as FIN7's systems administrator who, among other things, maintained servers and communication channels used by the organization and held a managerial role by delegating tasks and by providing instruction to other members of the scheme."
Criminal:Magecart,"Vermont's lobbyist registration and disclosure law applies to certain communications with and activities directed at the Attorney General. Prior to any interactions with the Office of the Vermont Attorney General, you are advised to review Title 2, Sections 261-268 of the Vermont Statutes Annotated, as well as the Vermont Secretary of State's most recent guide to compliance, available at https://www."
Hacktivist,"You've probably never heard of the marketing and data aggregation firm Exactis. Earlier this month, security researcher Vinny Troia discovered that Exactis, a data broker based in Palm Coast, Florida, had exposed a database that contained close to 340 million individual records on a publicly accessible server. The haul comprises close to 2 terabytes of data that appears to include personal information on hundreds of millions of American adults, as well as millions of businesses. While the precise number of individuals included in the data isn't clear-and the leak doesn't seem to contain credit card information or Social Security numbers-it does go into minute detail for each individual listed, including phone numbers, home addresses, email addresses, and other highly personal characteristics for every name. Exactis did not respond to multiple calls and emails from WIRED asking for comment on its data leak. Aside from the sheer breadth of the Exactis leak, it may be even more remarkable for its depth: Each record contains entries that go far beyond contact information and public records to include more than 400 variables on a vast range of specific characteristics: whether the person smokes, their religion, whether they have dogs or cats, and interests as varied as scuba diving and plus-size apparel. While the lack of financial information or Social Security numbers means the database isn't a straightforward tool for identity theft, the depth of personal info nonetheless could help scammers with other forms of social engineering, says Marc Rotenberg, executive director of the nonprofit Electronic Privacy Information Center."
